,facility_address,facility_name,facility_city,grade,score,serial_number,points,violation_description,violation_status,time,activity_date,year
179824,6571 W 80TH ST,VONS #4021,LOS ANGELES,A,97,DAHRIY06P,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201606,2016-06-08,2016
583050,15302 W SUNSET BLVD,SUBWAY,PACIFIC PALISADES,A,95,DAFQ5MEKR,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201612,2016-12-05,2016
556089,12914 VANOWEN ST,HOUSE OF PASTRY,NORTH HOLLYWOOD,A,90,DASHUUGAP,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201708,2017-08-11,2017
605393,15723 AMAR RD,LA PRIMAVERA,LA PUENTE,A,93,DAO0O96AJ,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201509,2015-09-21,2015
782176,104 W ANAHEIM ST # B,CHINA WOK EXPRESS,WILMINGTON,A,90,DAJ6IPSID,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201507,2015-07-27,2015
267956,1015 S NOGALES ST STE #132,MANDARIN BAY SEAFOOD RESTAUR,ROWLAND HEIGHTS,A,90,DAQOMEI3A,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201705,2017-05-05,2017
128906,21712 HAWTHORNE BLVD VC09,STONE OVEN,TORRANCE,A,94,DA1WGIM0B,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201609,2016-09-06,2016
474130,6360 W SUNSET BLVD,ARCLIGHT CINEMAS,LOS ANGELES,A,90,DASN2JDDO,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201512,2015-12-22,2015
607617,548 E BASELINE RD STE B,STAR WOK CHINESE FOOD,CLAREMONT,A,90,DA71QPHWH,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201703,2017-03-29,2017
371937,5010 YORK BLVD,THE HIGHLAND CAFE,LOS ANGELES,A,94,DAHWHBDQF,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201603,2016-03-09,2016
555822,2931 HONOLULU AVE,MOSS SUPERMARKET,GLENDALE,B,84,DAQBECLQU,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201710,2017-10-16,2017
705914,13218 W WASHINGTON BLVD,MASSIMO'S DELECTABLES,LOS ANGELES,A,91,DAQYB2OOI,1.0,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE,201705,2017-05-10,2017
277474,1219 S GLENDALE AVE UNIT A,WHY NOT KABOB,GLENDALE,A,91,DALLSY5YE,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201511,2015-11-16,2015
514139,227 W VALLEY BLVD # 348,CHANG'AN,SAN GABRIEL,A,92,DA562IFMH,2.0,"# 04. Proper eating, drinking, or tobacco use",OUT OF COMPLIANCE,201605,2016-05-24,2016
757894,1801 W 7TH ST,LAS DELICIAS BAKERY,LOS ANGELES,B,86,DAKQPUDK5,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201709,2017-09-18,2017
484393,12008 WILSHIRE BLVD # 101,LADY CHOCOLATT CAFE,LOS ANGELES,A,92,DANMYEU02,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201605,2016-05-25,2016
828589,39409 W 10TH ST W STE #A,BIG TUNA JAPANESE RESTAURANT,PALMDALE,A,90,DADSCNTBV,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201511,2015-11-05,2015
335276,17920 S AVALON BLVD,7-ELEVEN STORE 341320,CARSON,A,90,DATQF0YB4,1.0,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE,201704,2017-04-13,2017
211069,138 N ROBERTSON BLVD,MARI CAFE AND GRILL,BEVERLY HILLS,A,91,DAOUPM3Y9,2.0,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE,201606,2016-06-30,2016
146923,10612 S PRAIRIE AVE,GOOD TIME LOUNGE,INGLEWOOD,A,90,DAH4BCT3S,4.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201705,2017-05-04,2017
759102,14131 RAMONA BLVD STE B,TOM'S GRILL,BALDWIN PARK,A,90,DAMVBAUF4,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201712,2017-12-21,2017
127060,14223 BELLFLOWER BLVD,TACOS PUEBLA,BELLFLOWER,B,86,DAGDHIFGL,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201608,2016-08-18,2016
375706,212 N ORANGE ST,IMPRESSIONS REST & BANQUET,GLENDALE,A,91,DAXH5BQME,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201705,2017-05-30,2017
719800,143 N BARRANCA ST,ONO HAWAIIAN BBQ,WEST COVINA,A,97,DAZMUOSNJ,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201612,2016-12-14,2016
473447,3500 W 6th ST # 301,"BACKHOUSE K TOWN, LLC",LOS ANGELES,A,90,DAO8FTSNE,1.0,"# 26. Approved thawing methods used, frozen food maintained frozen",OUT OF COMPLIANCE,201612,2016-12-14,2016
412539,10950 SHERMAN WAY,VALLARTA SUPERMARKET #17,BURBANK,A,93,DA7MV1N47,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201603,2016-03-30,2016
335703,800 W OLYMPIC BLVD STE A160,ROCK N FISH,LOS ANGELES,A,93,DASS0EV85,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201611,2016-11-22,2016
161101,3425 E 1ST ST # 108,LA NUEVA FUENTE,LOS ANGELES,A,91,DA0AL6P4W,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201604,2016-04-20,2016
34068,301 W VALLEY BLVD # 112,MEI LONG VILLAGE,SAN GABRIEL,A,92,DACLDS7QQ,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201711,2017-11-09,2017
537515,5550 WILSHIRE BLVD STE D,FIVE GUYS BURGERS & FRIES #1430,LOS ANGELES,A,97,DAJHV2BEU,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201608,2016-08-26,2016
